id;circo;poids;type;id_info
50;et demande une rançon de {rand(10000 dollars,10000 euros,dix mille dollars,dix mille euros,300 euros,2 kebabs,50 kebabs,dix mille milliards)};10;specifique;79
51;alors qu’il était en couple avec {pers_circo=pers}{pers_circo.nom};10;specifique;87
52;avec un cure-dent;10;specifique;92
53;en en faisant son repas;10;specifique;92
54;par {pers_circo=pers}{pers_circo.nom};10;specifique;95
55;par {pers_circo=pers}{pers_circo.nom};10;specifique;103
56;par {pers_circo=pers}{pers_circo.nom};10;specifique;104
57;pour rejoindre {parti_circo=parti}{parti_circo.nom};10;specifique;110
58;suite à son départ de {parti_circo=parti}{parti_circo.nom};10;specifique;112
59;en marge de la manifestation des gilets jaunes;10;specifique;120
60;en marge de la manifestation {parti_circo=parti}{parti_circo.nom};10;specifique;120
61;en marge de la manifestation des gilets jaunes;10;specifique;121
62;en marge de la manifestation {parti_circo=parti}{parti_circo.nom};10;specifique;121
63;en marge de la manifestation des gilets jaunes;10;specifique;122
64;en marge de la manifestation {parti_circo=parti}{parti_circo.nom};10;specifique;122
65;pour une sortie prévue avant {rand(2020,2022,2025,2030,2050)};10;specifique;123
66;aux côtés de Mimie Mathy;10;specifique;124
67;aux côtés {pers_circo=pers}{pers_circo.nom(de)};10;specifique;124
68;aux côtés de Mimie Mathy et {pers_circo=pers}{pers_circo.nom(de)};10;specifique;124
69;en marge de la manifestation des gilets jaunes;10;specifique;127
70;en marge de la manifestation {parti_circo=parti}{parti_circo.nom};10;specifique;127
71;contre l’avis de son groupe;10;specifique;128
72;contre l’avis {parti_circo=parti}{parti_circo.nom(de)};10;specifique;128
73;malgré son absentéisme;10;specifique;128
74;record détenu jusque là par {pers_circo=pers}{pers_circo.nom};10;specifique;129
75;record détenu jusque là par {pers_circo=pers}{pers_circo.nom} qui était venu{genre(pers_circo,,e)} une fois;10;specifique;129
76;record détenu jusque là par {pers_circo=pers}{pers_circo.nom} qui été venu{genre(pers_circo,,e)} une fois par erreur;10;specifique;129
77;avec {pers_circo=pers}{pers_circo.nom};10;specifique;135
78;avec {pers_circo=pers}{pers_circo.nom} et {pers_circo2=pers}{pers_circo2.nom};10;specifique;135
79;avec {pers_circo=pers}{pers_circo.nom}, {pers_circo2=pers}{pers_circo2.nom} et {pers_circo3=pers}{pers_circo3.nom};10;specifique;135
80;par {pers_circo=pers}{pers_circo.nom};10;specifique;136
81;sur le stand {pers_circo=pers}{pers_circo.nom(de)};10;specifique;138
82;en dépassant {pers_circo=pers}{pers_circo.nom};10;specifique;140
83;d’un petit garçon;10;specifique;142
84;d’une petite fille;10;specifique;142
85;à 30 € les 25 cl;10;specifique;143
86;à 40 € les 20 cl;10;specifique;143
87;à 50 € les 15 cl;10;specifique;143
88;au profit du Z-Event;5;specifique;143
89;au profit du #ZEvent;5;specifique;143
90;au profit de l’Institut Pasteur;10;specifique;143
91;en présence {homar.nom(de)};10;specifique;144
92;en présence {homar.nom(de)} et {homar2.nom(de)};10;specifique;144
93;où du homard géant était servi;10;specifique;144
109;avec la complicité {pers_circo=pers}{pers_circo.nom(de)};10;universel;
114;sans aucune honte;3;universel;
115;sans avoir honte;2;universel;
116;en accord avec ses principes;5;universel;
117;bien que cela soit contraire à ses principes;10;universel;
119;sur demande {pers_circo=pers}{pers_circo.nom(de)};10;universel;
120;malgré la mort {pers_circo=pers}{pers_circo.nom(de)};1;universel;
121;malgré le décès {pers_circo=pers}{pers_circo.nom(de)};1;universel;
123;dans le cadre de l’affaire {pers_circo=pers}{pers_circo.nom(0)};10;universel;
124;dans le cadre de l’#Affaire{pers_circo=pers}{pers_circo.nom_colle};10;universel;
125;dans le plus grand secret;2;universel;
126;dans le plus grand des calmes;1;universel;
128;malgré les restrictions budgétaires;5;universel;
129;étant donné les restrictions budgétaires;5;universel;
130;d’après nos propres sources;10;universel;
131;en accord avec {pers_circo=pers}{pers_circo.nom};10;universel;
132;en désaccord avec {pers_circo=pers}{pers_circo.nom};10;universel;
133;avec {pers_circo=pers}{pers_circo.nom};10;universel;
134;d’après {pers_circo=pers}{pers_circo.nom};10;universel;
135;d’après {media_circo=media}{media_circo.nom};10;universel;
142;en portant un gilet jaune;1;universel;
143;d’après un document confidentiel que nous avons en notre possession;10;universel;
145;en direct à la télévision;10;universel;
147;pour avoir forcé {pers_circo=pers}{pers_circo.nom} à danser le “ndombolo” {lieu};10;accuse;
148;pour avoir raté son Ramadan;10;est_accuse;
149;pour fraude fiscale;10;accusation;
150;suite à son implication dans l’affaire Bygmalion;2;accusation;
151;dans le cadre des soupçons sur ses comptes de campagne;10;accusation;
152;dans le cadre de l’affaire des comptes de campagne {pers_circo=pers}{pers_circo.nom(de)};10;accusation;
153;dans le cadre de l’affaire des faux tweets d’Alain Juppé;3;accusation;
154;pour avoir appelé Emmanuel Macron “Manu”;5;accusation;
155;pour actes de sabotage sur serveur Minecraft;10;accusation;
156;pour avoir saboté la maison {pers_circo=pers}{pers_circo.nom(de)} sur Minecraft;10;accusation;
157;pour avoir dit des gros mots;10;accusation;
158;pour avoir juré sur un serveur Minecraft chrétien;10;accusation;
159;pour avoir juré sur Roblox;5;accusation;
160;pour avoir dit des gros mots sur Roblox;5;accusation;
161;dans le cadre de l’affaire Benalla;10;accusation;
162;dans le cadre de l’#Affaire{pers_circo=pers}{pers_circo.nom_colle};10;accusation;
163;pour homicide sur {pers_circo=pers}{pers_circo.nom};10;accusation;
164;pour avoir tagué {pers_circo=pers}“Je suis un{genre(pers_circo,,e)} enculé{genre(pers_circo,,e)}” sur la maison {pers_circo.nom(de)};10;est_accuse;
165;pour avoir tagué “Je suis un{gse} enculé{gse}” sur sa maison;10;accuse;
166;pour avoir raté le #NoNutNovember;10;accusation;
167;pour avoir raconté n’importe quoi sur Twitter;10;accusation;
168;pour avoir dit le N-word;10;accusation;
169;pour avoir brandit son gilet jaune;10;accusation;
170;pour avoir manifesté son soutien envers les gilets jaunes;5;accusation;
171;pour avoir soutenu publiquement les gilets jaunes;5;accusation;
172;pour avoir monté une arnaque sur internet;5;accusation;
173;pour possession de sérum physiologique;5;accusation;
174;pour laideur;5;accusation;
175;pour mocheté;5;accusation;
176;pour avoir partagé des fake news;10;accusation;
177;pour homicide involontaire;5;accusation;
178;pour homicide plus ou moins volontaire;10;accusation;
179;pour homicide volontaire;5;accusation;
180;car problématique;10;accusation;
181;pour avoir cassé des trucs;5;accusation;
182;pour avoir mangé tout le sable de Metz Plage;10;accusation;
183;dans le cadre de l’affaire Metz Plage;10;accusation;
184;car suspecté{genre(objet,,e)} d’être un bot;10;accuse;
185;car suspecté{gse} d’être un bot;10;est_accuse;
186;pour l’avoir traité{gse} de “fil{genre(sujet,s,le)} de pute”;10;accuse;
187;pour avoir traité {pers_circo=pers}{pers_circo.nom} de “fil{genre(pers_circo,s,le)} de pute”;10;accuse;
188;{genre(objet,pour avoir montré son pénis,pour avoir montré ses tétons sur Instagram)};10;accuse;
189;{genre(sujet,pour avoir montré son pénis,pour avoir montré ses tétons sur Instagram)};10;est_accuse;
190;pour avoir été flashé{genre(objet,,e)} à 90 km/h en trottinette électrique;10;accuse;
191;pour avoir été flashé{gse} à 90 km/h en trottinette électrique;10;est_accuse;
192;pour ne pas avoir activé la cloche sur sa chaîne YouTube;10;accuse;
193;pour plagiat;10;accuse;
194;pour plagiat sur {pers_circo=pers}{pers_circo.nom};10;est_accuse;
195;pour l’avoir forcé{genre(sujet,,e)} à danser le “ndombolo” {lieu};10;accuse;
196;pour diffamition;10;accuse;
197;pour diffamition et incitation à la haine;10;accuse;
198;pour l’avoir tué{gse};10;accuse;
199;pour avoir griefé sa maison sur Minecraft;10;accuse;
200;par {pers_circo}{pers_circo.nom};10;specifique;154
201;pour propos problématiques;10;accusation;
202;pour {genre(objet,le,la)} draguer;10;specifique;158
203;pour lui envoyer {genre(sujet,une dick pic,des nudes)};10;specifique;158
204;ironiquement;10;universel;
205;non-ironiquement;10;universel;
206;pour avoir chanté “Fuck le 17”;10;accusation;
207;pour avoir chanté “Fornique la maréchaussée”;10;accusation;
208;pour avoir dit “Nique la police” au lieu de “Nique le ministre”;10;accusation;
209;pour racisme anti-blanc;10;accusation;
210;pour avoir raté le #NoPeeJanuary;10;accusation;
211;durant le #DestroyDickDecember;20;specifique;1
212;durant le #NoPeeJanuary;20;specifique;1
213;pour avoir été horny on main;10;accusation;
214;pour avoir été horny sur {genre(sujet,lui,elle)};10;accuse;
215;pour avoir été horny sur {genre(objet,lui,elle)};10;est_accuse;
216;pour avoir été horny sur {pers_circo=pers}{pers_circo.nom};10;accusation;
217;en direct à la télévision;10;specifique;159
218;sur le plateau {pers_circo=pers}{pers_circo.nom(de)};10;specifique;159
219;avec {pers_circo=pers}{pers_circo.nom}, {pers_circo2=pers}{pers_circo2.nom} et {pers_circo3=pers}{pers_circo3.nom} en jurés;10;specifique;160
220;par {pers_circo=pers}{pers_circo.nom};10;specifique;163
221;sur le plateau de Pascal Praud;10;specifique;159
222;aux côtés de Laurent Ruquier, Arielle Dombasle et Olivier de Kersauson;10;specifique;166
223;aux cotés {pers_circo=pers}{pers_circo.nom(de)}, {pers_circo2=pers}{pers_circo2.nom} et {pers_circo3=pers}{pers_circo3.nom};10;specifique;166
224;pour avoir planté un mec;10;accusation;
225;{objet}pour l’avoir planté{gse};10;est_accuse;
226;pour l’avoir planté{genre(objet,,e)};10;accuse;
227;pour avoir planté {pers_circo=pers}{pers_circo.nom};10;accusation;
228;avec {pers_circo=pers}{pers_circo.nom}, {pers_circo2=pers}{pers_circo2.nom} et {pers_circo3=pers}{pers_circo3.nom};10;specifique;168
229;par nostalgie;10;specifique;171
230;pour se protéger du capitalisme;10;specifique;171
231;sur Twitter;10;specifique;174
232;sur Instagram;10;specifique;174
233;sur Snapchat;10;specifique;174
234;destinée {pers_circo=pers}{pers_circo.nom(à)};10;specifique;174
235;sous la pression de l’armée;10;specifique;46
236;sous la pression {pers_circo=pers}{pers_circo.nom(de)};10;specifique;46
237;pour avoir fait un fanart;10;accusation;
238;pour avoir fait un fanart de Tintin;10;accusation;
239;pour avoir fait un fanart {pers_circo=pers}{pers_circo.nom(de)};10;accusation;
240;pour avoir payé {pers_circo=pers}{pers_circo.nom} en visibilité;10;accusation;
241;pour l’avoir payé{gse} en visibilité;10;accuse;
242;pour l’avoir payé{genre(objet,,e)} en visibilité;10;est_accuse;
243;contre la #Loi{pers_circo=pers}{pers_circo.nom_colle};10;specifique;177
244;contre la loi {pers_circo=pers}{pers_circo.nom};10;specifique;177
245;avec {pers_circo=pers}{pers_circo.nom};10;specifique;178 
246;avec {pers_circo=pers}{pers_circo.nom et {pers_circo2=pers}{pers_circo2.nom};10;specifique;178 
247;avec {pers_circo=pers}{pers_circo.nom}, {pers_circo2=pers}{pers_circo2.nom} et {pers_circo3=pers}{pers_circo3.nom};10;specifique;178 
248;sous forme d’une “discussion entre potes” d’après l’intéressé{gse};30;specifique;178
249;sur Twitter;10;specifique;180
250;sur Snapchat;10;specifique;180
251;en déclarant la guerre {loc_circo=localite(pays)}{loc_circo.nom(à)};10;specifique;182
253;pour ne pas avoir respecté les règles de confinement;10;accusation;
254;pour avoir fait une black face;10;accusation;
255;pour avoir porté un t-shirt ahegao;10;accusation;
256;pour avoir acheté du Coca-Cola pendant le confinement;10;accusation;
257;a rapporté {pers_circo=pers}{pers_circo.nom} {media_circo=media}{media_circo.nom(à)};5;universel;
258;a rapporté {pers_circo=pers}{pers_circo.nom} {date} {media_circo=media}{media_circo.nom(à)};5;universel;
259;d’une overdose de chloroquine;10;specifique;1
260;{objet}pour avoir critiqué sa moustache;10;accusation;
261;{objet}pour avoir critiqué la taille de son front;10;accusation;
262;pour s’être fait{gse} passer pour {pers_circo=pers}{pers_circo.nom} sur Twitter;5;est_accuse;
263;{objet}pour s’être fait{genre(objet,,e)} passer pour {pers_circo=pers}{pers_circo.nom} sur Twitter;5;accuse;
264;{objet}pour lui avoir implanté une puce 5G{rand(, sans son consentement)};10;accusation;
265;d’une overdose de Xanogen et Nitro XL;10;specifique;1
266;en auto-médication;10;specifique;196
267;sur conseil de son médecin;10;specifique;196
268;à titre préventif;10;specifique;196
269;en auto-médication;10;specifique;197
270;sur conseil de son médecin;10;specifique;197
271;à titre préventif;10;specifique;197
272;avec {pers_circo=pers}{pers_circo.nom};10;specifique;198
273;avec {pers_circo=pers}{pers_circo.nom} et {pers_circo2=pers}{pers_circo2.nom};10;specifique;198
274;avec {pers_circo=pers}{pers_circo.nom}, {pers_circo2=pers}{pers_circo2.nom} et {pers_circo3=pers}{pers_circo3.nom};10;specifique;198
275;au MET Gala;10;specifique;199
276;aux Oscars;10;specifique;199
277;aux Césars;10;specifique;199
278;à Cannes;10;specifique;199
279;pour avoir time travel sur Animal Crossing;10;accusation;
280;{objet}pour l’avoir séquestré{genre(objet,,e)};5;est_accuse;
281;{objet}pour l’avoir séquestré{gse};5;accuse;
282;pour avoir séquestré {pers_circo=pers}{pers_circo.nom};5;accusation;
283;sur C8;10;specifique;201
284;pour avoir volé des courges à Nigloland;10;accusation;
285;pour ses convictions;5;accusation;
286;à cause de ses convictions;5;accusation;
287;pour l’avoir forcé{genre(objet,,e)} à danser le “ndombolo” {lieu};10;est_accuse;
288;{objet}pour avoir touché ses pierres;10;accusation;
289;pour avoir lancé une malédiction sur la Lune;10;accusation;
290;pour sorcellerie;10;accusation;
291;{objet}pour lui avoir lancé une malédiction;10;accusation;
292;pour actes christianophobes;10;accusation;
293;sur Instagram;10;specifique;203
294;pour ne pas avoir porté le masque;10;accusation;
295;en auto-médication;10;specifique;206
296;sur conseil de son médecin;10;specifique;206
297;pour avoir critiqué la taille de son front;10;accusation;207
