id,value,weight,ref_info,sujet,objet,pers
34,Oui bah { `.tierce = $info.acteur`.sujet({ .tierce.a }) } fait pire déjà,10,,coupable,,
35,"{ .objet.n(C’est,Ce sont) } { .objet.gn(l’homme,la femme,les personnes,les femmes) } de { .sujet.comp_implicite(la vie) }",10,93,sujet,objet,
46,Et alors ça vous dérange ?,10,,coupable,,
48,C’est faux. Ce sont des calomnies.,5,,coupable,,
49,C’est de la diffamation,5,,coupable,,
51,Ça arrive,10,,coupable,,
52,On s’y fait,10,,coupable,,
55,On vit dans une société,10,,coupable,,
85,C’était pour déconner,5,,coupable,,
86,Mais c’était pour déconner !,5,,coupable,,
89,Contexte ?,5,,coupable,,
90,Source ?,5,,coupable,,
99,Trop choquer et déçu,1,,victime,coupable,
100,Devinez { .objet.comp(la filière) },10,,coupable,victime,
104,"{ .sujet.sujet(port{ .sujet.n(e,ons) }) } plainte pour diffamation et incitation à la haine",10,,coupable,,
109,Pour { .sujet.tonique } c’est Black Mirror,10,,coupable,,
110,Si c’est vrai c’est très grâve !!!,10,,tierce,coupable,
130,"{ .sujet.sujet(ne) } trouv{ .sujet.n(e,ons) } pas de mot pour dire { .sujet.comp_implicite(le dégoût) } devant le caractère abject de cette accusation.",10,,coupable,,
134,"Bye Bitch{ .objet.n(,es) }( 💅)?",10,7,sujet,objet,
139,"Bye Sis{ .objet.n(,sies) } 💋💅",10,7,sujet,objet,
140,F,10,1,tierce,sujet,
141,"{ .objet.sujet({ .objet.pn(dois,dois,doit,devons,devez,doivent) }) } bien se marrer là-haut avec Coluche et Desproges",10,1,tierce,sujet,
143,Pourquoi personne n’en parle ?,10,,victime,coupable,
157,Anyway stan { Pers.nom },1,,coupable,,
159,Cassos !,1,,coupable,victime,
161,Masterclass,10,,tierce,,
1001,"Et { `decla1001ratio = new_acteur(ce ratio)`.tonique_explicite } { .info.motif.val(coupable: decla1001ratio, temps: passe, personne_victime: { .personne_objet }) } ?( 🤣)?",20,,coupable,,
1002,Oof,20,,tierce,coupable,
1003,Oof,20,,tierce,victime,
1004,((C’est )?littéralement )?1984,20,,coupable,,
1005,"{ .sujet.n(Je ne m’inclinerai,Nous ne nous inclinerons) } jamais devant la censure",10,1014,objet,,
1006,"{ .sujet.n(Je ne m’inclinerai,Nous ne nous inclinerons) } jamais devant la censure",10,1015,objet,,
1007,"Imagine-ton { `degaulle = new_acteur(le général De Gaulle)`.nom } { .info.motif.val(victime: degaulle, temps: infinitif, personne_victime: { .personne_objet }) } ?",10,,victime,,
1008,"{ .sujet.n(Je n’ai,Nous n’avons) } jamais eu de compte{ .sujet.s } { .info.lieu.loc_explicite } { .sujet.n(je vous le dis,nous vous le disons) } les yeux dans les yeux",10,72,objet,,
1009,{ .objet.tonique } aussi { decla1009sujet = .sujet; decla1009objet = .objet; .info.motif.val(coupable: decla1009objet; victime: decla1009sujet; temps: passe; personne_coupable: { .personne_objet }) },10,,coupable,victime,
1010,"{ .sujet.n(Je vais,Nous allons) } devenir le Joker",10,,coupable,,
1011,C’est sad,10,,tierce,victime,
1012,"Mais { .sujet.n(je suis,nous sommes) } neurodivergeant{ .sujet.es } et mineur{ .sujet.es }",10,,coupable,,
1013,Cringe,10,,tierce,coupable,
1014,"{ .sujet.comp({ .sujet.n(la femme,les femmes) }) } { .sujet.cod({ .sujet.to_3e_personne.a } quitté{ .sujet.es }) } !",10,,coupable,,
1015,"{ .objet.sujet({ .objet.pn(vais,vas,va,allons,allez,vont) }) } découvrir en enfer ce { que({ .objet.sujet({ .objet.a }) }) } fait aux mineurs",10,1,tierce,,
1016,"Embouteillage chez Satan : après Thatcher, voilà #{ .objet.pascal_case }. Faites bouillir l’huile !",10,1,tierce,,
1017,"{ .objet.sujet({ .objet.a }) } niqué { .sujet.comp({ .sujet.n(la femme,les femmes) }) } !!!",10,,coupable,victime,
1019,Mais c’est impossible { .sujet.sujet(l’{ .sujet.a }) } vu en SES,10,1053,tierce,,
1020,"Mais { .sujet.n(je jouais,on jouait) } un personnage",10,,coupable,,
1021,Mais ce n’est pas possible car c’est interdit,10,,tierce,coupable,
1022,"{ `decla1022cd = new_acteur(Coluche et Desproges,M,P)`.tonique } ne pourraient plus { .info.motif.val(coupable: decla1022cd, personne_victime: { .personne_objet }, temps: infinitif) } de nos jours",10,,coupable,,
1023,Source : Évian,10,,coupable,,
1024,Ça arrive lourd lourd lourd,10,16,sujet,,
1025,Streamez-ça fort,10,16,sujet,,
1026,C’était un donation goal( du { h }ZEvent)?,10,,coupable,,
1029,Info chat,10,,coupable,,
1030,"{ `decla1030gens = new_acteur(les gens,M,P)`.sujet_explicite; decla1030autres = new_acteur(les autres,M,P) } qui { .info.motif.val(coupable: decla1030gens, victime: decla1030autres, temps: simple, mettre_sujet: false) } { .sujet.n(j’en parlerai,on en parlera) } dans { .sujet.comp(le prochain livre) }",10,,victime,coupable,
1031,{ .objet.nom } en PLS( 🤣)?,10,,coupable,victime,
1032,"As { .objet.n(she,they) } should #girlboss{ .objet.n(,es) }",10,,tierce,coupable,
1033,"{ .sujet.n(J’ai,On a) } pas reçu d’invitation ahah ça bug non ?( 😅)?",10,1019,tierce,,
1134,Évidemment { .objet.sujet({ .objet.a }) } des pronoms et des cheveux bleus !,10,,coupable,victime,
1135,"Émile Zola a dit « J’accuse », { .sujet.tonique_implicite } { .sujet.n(je dis « Je m’excuse »,on dit « On s’excuse ») }",10,,coupable,,
1136,U mad bro{ .objet.s }?,10,,coupable,victime,
1189,"C’est pas à { .sujet.tonique } de { .objet.n(t’,vous ) }éduquer",10,,victime,coupable,
1190,"Ce n’est pas { .sujet.tonique } c’est { .sujet.comp_implicite({ .sujet.n(l’alter,les alters) }) }",10,,coupable,,
1191,On va pas s’empêcher de vivre( bordel),10,,coupable,,
1192,"{ .objet.g(Belle bite ⚔🏴‍☠️,Belles gougouttes (👀|🥵)) }",10,70,tierce,sujet,
